category_test,category_fixture,category_stage,FAI10,FAI12,FAI13,FAI14
C,V3,channel1,,30.1878999999997,,
C,V3,channel3,,30.1951999999997,,
C,V3,channel1,,30.2024999999997,,
C,V3,channel3,,30.2097999999997,,
C,V3,channel1,,30.2170999999997,,
C,V3,channel3,,30.2243999999997,,
C,V3,channel1,,30.2316999999997,,
C,V3,channel3,,30.2389999999997,,
C,V3,channel1,,30.2462999999997,,
C,V3,channel3,,30.2535999999997,,
C,V3,channel1,,30.2608999999997,,
C,V3,channel3,,30.2681999999997,,
C,V3,channel1,,30.2754999999997,,
C,V3,channel3,,30.2827999999997,,
C,V3,channel1,,30.2900999999997,,
C,V3,channel3,,30.2973999999997,,
C,V3,channel1,,30.3046999999997,,
C,V3,channel3,,30.3119999999997,,
C,V3,channel1,,30.3192999999997,,
C,V3,channel3,,30.3265999999997,,
C,V3,channel1,,30.3338999999997,,
C,V3,channel3,,30.3411999999997,,
C,V3,channel1,,30.3484999999997,,
C,V3,channel3,,30.3557999999997,,
C,V3,channel1,,30.3630999999997,,
C,V3,channel3,,30.3703999999996,,
C,V3,channel1,,30.3776999999996,,
C,V3,channel3,,30.3849999999996,,
C,V3,channel1,,30.3922999999996,,
C,V3,channel3,,30.3995999999996,,
C,V3,channel1,,30.4068999999996,,
C,V3,channel3,,30.4141999999996,,
C,V3,channel1,,30.4214999999996,,
C,V3,channel3,,30.4287999999996,,
C,V3,channel1,,30.4360999999996,,
C,V3,channel3,,30.4433999999996,,
C,V3,channel1,,30.4506999999996,,
C,V3,channel3,,30.4579999999996,,
C,V3,channel1,,30.4652999999996,,
C,V3,channel3,,30.4725999999996,,
C,V3,channel1,,30.4798999999996,,
C,V3,channel3,,30.4871999999996,,
C,V3,channel1,,30.4944999999996,,
C,V3,channel3,,30.5017999999996,,
C,V3,channel1,,30.5090999999996,,
C,V3,channel3,,30.5163999999996,,
C,V3,channel1,,30.5236999999996,,
C,V3,channel3,,30.5309999999996,,
C,V3,channel1,,30.5382999999996,,
C,V3,channel3,,30.5455999999996,,
C,V3,channel1,,30.5528999999996,,
C,V3,channel3,,30.5601999999996,,
C,V3,channel1,,30.5674999999996,,
C,V3,channel3,,30.5747999999996,,
C,V3,channel1,,30.5820999999996,,
C,V3,channel3,,30.5893999999996,,
C,V3,channel1,,30.5966999999996,,
C,V3,channel3,,30.6039999999996,,
C,V3,channel1,,30.6112999999996,,
C,V3,channel3,,30.6185999999996,,
C,V3,channel1,,30.6258999999996,,
C,V3,channel3,,30.6331999999996,,
C,V3,channel1,,30.6404999999995,,
C,V3,channel3,,30.6477999999995,,
C,V3,channel1,,30.6550999999995,,
C,V3,channel3,,30.6623999999995,,
C,V3,channel1,,30.6696999999995,,
C,V3,channel3,,30.6769999999995,,
C,V3,channel1,,30.6842999999995,,
C,V3,channel3,,30.6915999999995,,
C,V3,channel1,,30.6988999999995,,
C,V3,channel3,,30.7061999999995,,
C,V3,channel1,,30.7134999999995,,
C,V3,channel3,,30.7207999999995,,
C,V3,channel1,,30.7280999999995,,
C,V3,channel3,,30.7353999999995,,
C,V3,channel1,,30.7426999999995,,
C,V3,channel3,,30.7499999999995,,
C,V3,channel1,,30.7572999999995,,
C,V3,channel3,,30.7645999999995,,
C,V3,channel1,,30.7718999999995,,
C,V3,channel3,,30.7791999999995,,
C,V3,channel1,,30.7864999999995,,
C,V3,channel3,,30.7937999999995,,
C,V3,channel1,,30.8010999999995,,
C,V3,channel3,,30.8083999999995,,
C,V3,channel1,,30.8156999999995,,
C,V3,channel3,,30.8229999999995,,
C,V3,channel1,,30.8302999999995,,
C,V3,channel3,,30.8375999999995,,
C,V3,channel1,,30.8448999999995,,
C,V3,channel3,,30.8521999999995,,
C,V3,channel1,,30.8594999999995,,
C,V3,channel3,,30.8667999999995,,
C,V3,channel1,,30.8740999999995,,
C,V3,channel3,,30.8813999999995,,
C,V3,channel1,,30.8886999999995,,
C,V3,channel3,,30.8959999999995,,
C,V3,channel1,,30.9032999999994,,
C,V3,channel3,,30.9105999999994,,
C,V3,channel1,,30.9178999999994,,
C,V3,channel3,,30.9251999999994,,
C,V3,channel1,,30.9324999999994,,
C,V3,channel3,,30.9397999999994,,
C,V3,channel1,,30.9470999999994,,
C,V3,channel3,,30.9543999999994,,
C,V3,channel1,,30.9616999999994,,
C,V3,channel3,,30.9689999999994,,
C,V3,channel1,,30.9762999999994,,
C,V3,channel3,,30.9835999999994,,
C,V3,channel1,,30.9908999999994,,
C,V3,channel3,,30.9981999999994,,
C,V3,channel1,,31.0054999999994,,
C,V3,channel3,,31.0127999999994,,
C,V3,channel1,,31.0200999999994,,
C,V3,channel3,,31.0273999999994,,
C,V3,channel1,,31.0346999999994,,
C,V3,channel3,,31.0419999999994,,
C,V3,channel1,,31.0492999999994,,
C,V3,channel3,,31.0565999999994,,
C,V3,channel1,,31.0638999999994,,
C,V3,channel3,,31.0711999999994,,
C,V3,channel1,,31.0784999999994,,
C,V3,channel3,,31.0857999999994,,
C,V3,channel1,,31.0930999999994,,
C,V3,channel3,,31.1003999999994,,
C,V3,channel1,,31.1076999999994,,
C,V3,channel3,,31.1149999999994,,
C,V3,channel1,,31.1222999999994,,
C,V3,channel3,,31.1295999999994,,
C,V3,channel1,,31.1368999999994,,
C,V3,channel3,,31.1441999999994,,
C,V3,channel1,,31.1514999999994,,
C,V3,channel3,,31.1587999999993,,
C,V3,channel1,,31.1660999999993,,
C,V3,channel3,,31.1733999999993,,
C,V3,channel1,,31.1806999999993,,
C,V3,channel3,,31.1879999999993,,
C,V3,channel1,,31.1952999999993,,
C,V3,channel3,,31.2025999999993,,
C,V3,channel1,,31.2098999999993,,
C,V3,channel3,,31.2171999999993,,
C,V3,channel1,,31.2244999999993,,
C,V3,channel3,,31.2317999999993,,
C,V3,channel1,,31.2390999999993,,
C,V3,channel3,,31.2463999999993,,
C,V3,channel1,,31.2536999999993,,
C,V3,channel3,,31.2609999999993,,
C,V3,channel1,,31.2682999999993,,
C,V3,channel3,,31.2755999999993,,
C,V3,channel1,,31.2828999999993,,
C,V3,channel3,,31.2901999999993,,
C,V3,channel1,,31.2974999999993,,
C,V3,channel3,,31.3047999999993,,
C,V3,channel1,,31.3120999999993,,
C,V3,channel3,,31.3193999999993,,
C,V3,channel1,,31.3266999999993,,
C,V3,channel3,,31.3339999999993,,
C,V3,channel1,,31.3412999999993,,
C,V3,channel3,,31.3485999999993,,
C,V3,channel1,,31.3558999999993,,
C,V3,channel3,,31.3631999999993,,
C,V3,channel1,,31.3704999999993,,
C,V3,channel3,,31.3777999999993,,
C,V3,channel1,,31.3850999999993,,
C,V3,channel3,,31.3923999999993,,
C,V3,channel1,,31.3996999999992,,
C,V3,channel3,,31.4069999999993,,
C,V3,channel1,,31.4142999999993,,
C,V3,channel3,,31.4215999999992,,
C,V3,channel1,,31.4288999999992,,
C,V3,channel3,,31.4361999999992,,
C,V3,channel1,,31.4434999999992,,
C,V3,channel3,,31.4507999999992,,
C,V3,channel1,,31.4580999999992,,
C,V3,channel3,,31.4653999999992,,
C,V3,channel1,,31.4726999999992,,
C,V3,channel3,,31.4799999999992,,
C,V3,channel1,,31.4872999999992,,
C,V3,channel3,,31.4945999999992,,
C,V3,channel1,,31.5018999999992,,
C,V3,channel3,,31.5091999999992,,
C,V3,channel1,,31.5164999999992,,
C,V3,channel3,,31.5237999999992,,
C,V3,channel1,,31.5310999999992,,
C,V3,channel3,,31.5383999999992,,
C,V3,channel1,,31.5456999999992,,
C,V3,channel3,,31.5529999999992,,
C,V3,channel1,,31.5602999999992,,
C,V3,channel3,,31.5675999999992,,
C,V3,channel1,,31.5748999999992,,
C,V3,channel3,,31.5821999999992,,
C,V3,channel1,,31.5894999999992,,
C,V3,channel3,,31.5967999999992,,
C,V3,channel1,,31.6040999999992,,
C,V3,channel3,,31.6113999999992,,
C,V3,channel1,,31.6186999999992,,
C,V3,channel3,,31.6259999999992,,
C,V3,channel1,,31.6332999999992,,
C,V3,channel3,,31.6405999999992,,
C,V3,channel1,,31.6478999999992,,
C,V3,channel3,,31.6551999999992,,
C,V3,channel1,,31.6624999999992,,
C,V3,channel3,,31.6697999999991,,
C,V3,channel1,,31.6770999999992,,
C,V3,channel3,,31.6843999999991,,
C,V3,channel1,,31.6916999999991,,
C,V3,channel3,,31.6989999999991,,
C,V3,channel1,,31.7062999999991,,
C,V3,channel3,,31.7135999999991,,
C,V3,channel1,,31.7208999999991,,
C,V3,channel3,,31.7281999999991,,
C,V3,channel1,,31.7354999999991,,
C,V3,channel3,,31.7427999999991,,
C,V3,channel1,,31.7500999999991,,
C,V3,channel3,,31.7573999999991,,
C,V3,channel1,,31.7646999999991,,
C,V3,channel3,,31.7719999999991,,
C,V3,channel1,,31.7792999999991,,
C,V3,channel3,,31.7865999999991,,
C,V3,channel1,,31.7938999999991,,
C,V3,channel3,,31.8011999999991,,
C,V3,channel1,,31.8084999999991,,
C,V3,channel3,,31.8157999999991,,
C,V3,channel1,,31.8230999999991,,
C,V3,channel3,,31.8303999999991,,
C,V3,channel1,,31.8376999999991,,
C,V3,channel3,,31.8449999999991,,
C,V3,channel1,,31.8522999999991,,
C,V3,channel3,,31.8595999999991,,
C,V3,channel1,,31.8668999999991,,
C,V3,channel3,,31.8741999999991,,
C,V3,channel1,,31.8814999999991,,
C,V3,channel3,,31.8887999999991,,
C,V3,channel1,,31.8960999999991,,
